marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date		helpful-helpless	vote%	bscore	tscore	lenth	total review				star_rating	total review																				
US	20973683	R1DKTZQ1KA9IFB	B00009V3X6	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	1	16	19	N	Y	Bargain??? Mind the interior!	"One week after installing this over-the-stove, convection microwave, the stainless steel interior began to look spotted. A white cloth rubbed on the area revealed rust which continued growing like a severe rash on all surfaces of the inside. Sharp authorized a local service rep to make a housecall and examine it. He concluded the metal interior's defect, whereupon Sharp said they would replace (but not pay for reinstallation of) the unit. Removing the defective microwave and reinstalling will cost me $140!!! That wipes out any savings incurred by ordering online. Sharp's customer service will not compensate. I would have been MUCH better off buying from my local retailer who would have changed out the piece without charge in a situation like this. Live and learn. It is more than one month after the inspection and I have not received the replacement (said to be on back-order but still available online!!!).  <br />Aside from the interior cosmetic defect, the microwave looks great and works fine."	11/20/2004	20041120	13	1.015970516	1.092361415	0	2	0.665884194		20041120		1	0.665884194																				
US	36083583	R19SLY8AEJ49RX	B00009V3WS	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	3	56	61	N	Y	It was a bit of a disappointment	When we were remodeling our kitchen we decided to replace our Sharp countertop convection microwave with the over the range model. I really miss the old one. This new model seems to be a lot noisier than the old one. I went from 1.5 cubic feet down to 1.1 and it feels like I lost a lot more room than that. The hood light is VERY dim and the replacement bulbs (2) each cost at least $4 a piece if you can find them. Because we had to vent this into the kitchen we had to sent away to Sharp for a charcoal filter that cost $20 (filter plus shipping and handling.) We had planned to vent it to the outside but the vent didn't even come close to matching up the hole from our former range hood. The cooking turntable is white and very had to keep clean. It is only a month old and is very stained already.  <br />I do like to have the cooking area at eye level.  <br />I researched the price for comparable items on the web before buying and Amazon offered the best price as well as free shipping. I am very pleased with Amazon!	12/10/2004	20041210	51	1.062653563	0.895448806	-3	2	-3.892213846		20041210		3	-3.892213846																				
US	37842803	RBRPCT3DBB2QP	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	5	6	10	N	Y	Great Product from Amazon	"We really like this microwave but more we like how easy it was to get it from Amazon.  It really has a good convection oven, although is somewhat noisy with the fan.  It was very easy to install and came with very clear instructions.  Amazon delivered it quickly and it was the best price as anywhere."	1/4/2007	20070104	2	1.002457002	2.255555556	4	1.5	5.227813265		20070104		5	5.227813265																				
US	48874236	R1I7HO0TQIH3PY	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	4	3	5	N	Y	sharp microwave	"Great help in the installation, smaller oven size than ge or sears. Display could have larger numbers. No handle to open door."	7/28/2007	20070728	1	1.001228501	1	-0.625	1.5	-0.206503378		20070728		4	-0.206503378																				
US	52922560	RTRK6B993JSW2	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	5	7	7	N	Y	Sharp Over the Range Convection Microwave Oven	"You will be surprised at the amount and size of food this oven will accomodate.  It cooks everything from meatloaf to pound cake evenly and locking in juices.  I bought this because my other Sharp over the range microwave gave up after eleven years of constant use.  I was used to the Sharp features which made it the logical choice.  At the same time, I wanted to replace my conventional oven (also 11 yrs. old) because it never baked evenly.  With the Sharp micro/convection combo, I no longer have to replace my conventional range oven - I'll use it for storage."	2/22/2008	20080222	7	1.008599509	-0.152597403	-0.625	2	-0.97487037		20080222		5	-0.97487037																				
US	19240110	R1WU5HNB2V5APZ	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	5	5	6	N	Y	Maybe best Micro/Convection built.	After owning a previous Sharp microwave/convection oven I bought this one.  Installed 5 years ago and still just as pleased as the day it was installed.  Excellent even microwave and oven performance.  Highly recommend this product.	8/25/2010	20100825	4	1.004914005	1.368333333	5	1.5	5.894574325		20100825		5	5.894574325																				
US	24654613	R35RHWZRMTJF0S	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	5	0	0	N	Y	An excellent product at a great price	We've owner this product for several years now.  It looks nice and works great.  Amazon handles the shipping of this heavy product with ease so you don't need  to be concerned about it getting to you in top condition.	12/12/2010	20101212	0	1	1.7	4.5	2	7.32		20101212		5	7.32																				
US	49532825	R1Y9OXA2S9XMF0	B004NXUJ60	523301568	microwave cavity paint 98qbp0302	Major Appliances	5	131	134	N	Y	Microwave paint fix that works	"My daughter had a GE microwave/oven combo. The microwave had the infamous GE flaking paint interior problem. The cost of replacing the integrated units to correct the microwave was very steep. So I bought a can of this paint to see if it would work.<br /><br />To my amazement, it did! Now it wasn't easy, I had to degrease the inside of the oven (TSP), then sand it by hand and some machine for about an hour to get all the base paint solid. I used PaintStriper sanding blocks, 60 and 100 grit, the followed up with some 150 grit paper. Then I had to mask the oven opening with masking tape, paper, and a cheap plastic tarp to beware of overspray.<br /><br />Pro - Followed the directions on the can, and sprayed away! It worked and is still holding up 3 weeks later. So about $35 in material has, so far, stopped a very expensive (hundreds of dollars) oven replacement.<br /><br />Cons - The paint is acetone based so ventilation is a MUST .  Pick a day when doors and windows can be open and I would get the kids out of the house. The paint does dry very fast in about an hour."	4/24/2011	20110424	128	1.157248157	-0.197222222	0	2	-0.136941032		20110424		5	-0.136941032																				
US	50860381	RKJSVE44CFEKW	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	4	24	26	N	Y	Perfect for a small kitchen	"I love this microwave.  It takes up barely any space on the counter, and the cord is well hidden behind it.  It works fine for just heating things up and defrosting.  The only thing to be aware of is that this really is a tiny microwave. You can fit a full size dinner plate, but there is not a lot of height inside.  I couldn't use my microwave rice cooker in this because it was too tall, so I had to purchase a counter top rice cooker instead, which doesn't seem to work as well.  Other than that, this microwave looks good on the counter and does the job."	1/31/2012	20120131	22	1.027027027	0.951923077	1.875	2	3.282536382		20120131	1	4	3.282536382																				
US	29688230	R3LZOVXFNRZQOE	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	4	7	10	N	Y	Fits a need.	"Bought to fit in an 18 kitchen base cabinet, hidden behind a door. 1000 watts would be better, but this is the only choice for my requirements. I like the simple controls, as I use it only to rewarm leftovers and melt butter and chocolate."	4/16/2012	20120416	4	1.004914005	-0.291666667	0	1	-0.087929975		20120416	1	4	-0.087929975																				
